,COUNTRY,ST_/_PROV,CITY,STREET_ADDRESS,POSTAL_CODE,STRUCTURE_CATEGORY,ON-NET_TYPE,BUILDING_NAME,ZAYO_BUILDING_CODE,CLLI_CODE,LATA,NPA,NXX,LATITUDE,LONGITUDE,MARKET,geometry,LAT_LON
13081,UNITED KINGDOM,,Kendal,Singleton Park,LA9 6PE,ILA,Fiber Only,144791.0,CUM-KEN,KENDEN06,,,,54.3232,-2.70532,United Kingdom,POINT (-2.70532 54.3232),54.3232-2.70532
29173,UNITED KINGDOM,,Kendal,"North Lodge, Singleton Park",LA9 6PE,ILEC Central Office,Restricted,154092.0,,,,,,54.3232,-2.70532,United Kingdom,POINT (-2.70532 54.3232),54.3232-2.70532
13111,UNITED KINGDOM,,Northallerton,Myers Lane,DL7 8,Zayo POP,Fiber Only,144805.0,NOR-YFH,NTRNEN05,,,,54.33793,-1.4837,United Kingdom,POINT (-1.4837 54.33793),54.33793-1.4837
29326,UNITED KINGDOM,,Northallerton,Yafforth Pig trap Myers Lane,DL7 8,ILA,Restricted,154090.0,,,,,,54.33793,-1.4837,United Kingdom,POINT (-1.4837 54.33793),54.33793-1.4837
13030,UNITED KINGDOM,,Carlisle,Scotby Shields,CA4 8EB,Zayo POP,Fiber Only,144790.0,CUM-CAR,CRLSEN14,,,,54.87729,-2.84682,United Kingdom,POINT (-2.84682 54.87729),54.87729-2.84682
29310,UNITED KINGDOM,,Carlisle,Scotby Shields,CA4 8EB,ILA,Restricted,154084.0,,,,,,54.87729,-2.84682,United Kingdom,POINT (-2.84682 54.87729),54.87729-2.84682
13115,UNITED KINGDOM,,Newcastle,"Normans Riding Farm, Barlow Lane",NE21 6JS,Zayo POP,Fiber Only,144806.0,NEW-LTY,NWCLEN10,,,,54.94794,-1.74019,United Kingdom,POINT (-1.74019 54.94794),54.94794-1.74019
29328,UNITED KINGDOM,,Newcastle,Normans Riding,NE21 6JS,ILA,Restricted,154096.0,,,,,,54.94794,-1.74019,United Kingdom,POINT (-1.74019 54.94794),54.94794-1.74019
13047,UNITED KINGDOM,,Edinburgh,Cranstoun Estate,EH22 2PH,Zayo POP,Fiber Only,144788.0,DLH-335,EDBGSTDJ,,,,55.88411,-3.02418,Edinburgh GBR,POINT (-3.02418 55.88411),55.88411-3.02418
29320,UNITED KINGDOM,,Edinburgh,Cranstoun Estate,EH22 2PH,ILA,Restricted,154085.0,,,,,,55.88411,-3.02418,Edinburgh GBR,POINT (-3.02418 55.88411),55.88411-3.02418
